,word,counts
0,Buster,28
1,Keaton,66
2,不愧为,14
3,大师,239
4,好看,695
5,以致于,9
6,接连,7
7,资料馆,114
8,两遍,28
9,看到,552
10,走进,23
11,银幕,235
12,模仿,125
13,谈恋爱,4
14,飙车,43
15,戏船,1
16,戏,464
17,火车,235
18,基顿,618
19,似乎,127
20,无穷的,7
21,拍电影,23
22,创意,114
23,忧郁,30
24,气质,97
25,内敛,12
26,风格,350
27,幽默,181
28,身体语言,3
29,一种,422
30,超越,148
31,时间,225
32,优雅,8
33,天真,33
34,老,234
35,有人,96
36,卓别林,178
37,比个高下,1
38,两人,34
39,伟大,274
40,特点,26
41,长处,4
42,老来,2
43,知道,479
44,拉着,5
45,一起,217
46,@,119
47,中国电影资料馆,20
48,斯特,166
49,·,614
50,集,33
51,表演,359
52,天赋,25
53,导演,593
54,动作,673
55,设计,244
56,喜剧,405
57,一身,57
58,绝世,8
59,奇才,8
60,一只,31
61,手,44
62,数过来,1
63,还好,54
64,他生,1
65,年代,368
66,讲真,5
67,搞笑,188
68,程度,89
69,作品,453
70,内涵,77
71,略逊,1
72,想象力,146
73,绝对,214
74,同时代,7
75,巅峰,117
76,梦里,9
77,捂起,1
78,耳朵,12
79,盖世英雄,1
80,开头,138
81,比较,260
82,无趣,25
83,放,71
84,好久,18
85,后面,113
86,拍摄,192
87,手法,139
88,有趣,147
89,一口气,32
90,结局,312
91,绝佳,18
92,再次,63
93,感叹,38
94,原来,275
95,香港,110
96,喜剧片,58
97,段落,79
98,默片,172
99,时期,60
100,已有,6
101,伍迪,21
102,艾伦,24
103,开罗,33
104,紫,34
105,玫瑰,42
106,走出,21
107,复,4
108,回归,38
109,构思,33
110,前人,9
111,用过,2
112,方法,33
113,出奇,3
114,戏中戏,77
115,亲吻,7
116,无人驾驶,23
117,摩托车,43
118,车子,3
119,滑行,3
120,水面,5
121,陡然,1
122,变成,117
123,帆船,12
124,做梦,21
125,造梦真美,1
126,20201025,1
127,打卡,7
128,片源,4
129,蛮,80
130,清晰,64
131,45min,3
132,竟有,3
133,一个多,11
134,G,17
135,想不到,23
136,居然,249
137,接近,42
138,一百年,30
139,完全,475
140,是因为,88
141,男主,107
142,颜值,24
143,哈哈哈哈,35
144,怀疑,43
145,涂,1
146,蛮重,1
147,口红,1
148,特效,266
149,发达,8
150,技术,183
151,现在,547
152,出奇制胜,1
153,传统,90
154,才子佳人,1
155,亮点,91
156,转场,16
157,顶上,4
158,狂奔,20
159,画中画,7
160,台球,65
161,一段,197
162,精彩,443
163,想起,136
164,立,14
165,鼓掌,19
166,划时代,16
167,经典,853
168,keaton,3
169,读,8
170,how,11
171,to,95
172,be,33
173,a,143
174,director,2
175,那本书,2
176,无数,55
177,情节,424
178,后世,50
179,玩儿,14
180,天才,137
181,剩下,59
182,当时,200
183,来讲,26
184,了不起,30
185,美妙,18
186,诙谐,36
187,happy,7
188,ending,10
189,步入,10
190,荧幕,45
191,现实,283
192,太牛,35
193,逼,407
194,配乐,547
195,剪辑,297
196,充满,194
197,笑点,83
198,剧情,797
199,统统,6
200,上乘,7
201,水平,78
202,令人,223
203,叹为观止,58
204,灵魂,122
205,出窍,19
206,幕布,9
207,场景,364
208,不断,118
209,变化,42
210,戏份,66
211,看来,174
212,周星驰,153
213,成龙,98
214,拙劣,19
215,模仿者,2
216,强,81
217,里面,233
218,玩命,19
219,惊讶,17
220,无法,247
221,理解,175
222,镜头,659
223,所用,1
224,不得不,116
225,杰作,66
226,大名鼎鼎,2
227,追逐,158
228,出自,18
229,时代,455
230,简直,319
231,世纪,60
232,神作,131
233,折服,28
234,于巴,1
235,奇思,1
236,之下,41
237,梦境,81
238,进入,72
239,发明,8
240,之初,3
241,百年,42
242,如今,88
243,强烈,84
244,情感,116
245,作用,29
246,表现,228
247,所谓,151
248,共情,3
249,造梦,16
250,元,24
251,今敏,3
252,千年,13
253,女优,1
254,大林,1
255,宣彦,1
256,海边,6
257,电影院,154
258,本片,335
259,学习,44
260,致敬,134
261,选择,146
262,代表,90
263,魅力,129
264,我会,28
265,印象,200
266,最深,42
267,结构,111
268,脑洞,21
269,卧槽,24
270,live,10
271,jazz,1
272,for,46
273,this,39
274,silent,5
275,film,21
276,in,83
277,London,1
278,Jazz,1
279,Festival,1
280,杂耍,29
281,特技表演,2
282,+,287
283,功能化,1
284,★,314
285,滑稽,30
286,可爱,187
287,傑作,3
288,!,545
289,很难,69
290,想象,188
291,竟然,215
292,近,50
293,双重,16
294,曝光,10
295,相似,50
296,今天,189
297,实在,379
298,先锋,18
299,追车,29
300,内外,12
301,解构,42
302,很棒,109
303,五星,222
304,每次,119
305,想到,113
306,当年,234
307,有声片,5
308,诞生,41
309,创作者,23
310,演员,307
311,认为,94
312,台词,211
313,削弱,9
314,表现力,18
315,观点,28
316,错误,17
317,毕竟,79
318,当代,17
319,大部分,42
320,噱头,21
321,不够,127
322,套层,2
323,叙事,320
324,创作,32
325,新,184
326,上太难,1
327,突破,32
328,争取,8
329,真实,249
330,共鸣,19
331,这件,13
332,不会,251
333,观众,321
334,淘汰,3
335,福迷划,1
336,重点,49
337,一位,31
338,侦探,32
339,助手,5
340,名字,58
341,吉列,2
342,爵士,5
343,认可,8
344,福尔摩斯,49
345,饰演者,1
346,認識,1
347,罪,16
348,不可,60
349,赦,1
350,土,11
351,一個,30
352,为所欲为,1
353,哈哈哈,118
354,1924,69
355,100,83
356,依旧,142
357,感谢,27
358,豆瓣,100
359,秋日,3
360,影展,14
361,推送,1
362,黄粱一梦,1
363,梗,80
364,牛,345
365,请,60
366,收下,8
367,膝盖,5
368,留名,9
369,影史,101
370,前置,2
371,阶段,21
372,巧合,24
373,将近,29
374,摄影,145
375,摆,17
376,依然,228
377,应该,336
